Timestamp,Appliance,Usage_kWh,Room,Mode,Temp(C),Cost(INR)
2025-07-01 00:00:00,Fridge,1.31,Living Room,On,20,9.83
2025-07-01 01:00:00,Washing Machine,0.19,Kitchen,On,34,1.42
2025-07-01 02:00:00,Geyser,0.73,Bathroom,Freeze,34,5.48
2025-07-01 03:00:00,Washing Machine,1.9,Living Room,Cool,26,14.25
2025-07-01 04:00:00,Washing Machine,1.19,Living Room,Wash,34,8.92
2025-07-01 05:00:00,Lights,0.36,Bathroom,Wash,24,2.7
2025-07-01 06:00:00,Geyser,0.66,Living Room,On,24,4.95
2025-07-01 07:00:00,Geyser,0.7,Kitchen,Cool,33,5.25
2025-07-01 08:00:00,Geyser,1.25,Bedroom,On,21,9.38
2025-07-01 09:00:00,Washing Machine,0.98,Kitchen,Heat,30,7.35
2025-07-01 10:00:00,Fridge,0.87,Bedroom,On,22,6.52
2025-07-01 11:00:00,Geyser,1.2,Bedroom,On,26,9.0
2025-07-01 12:00:00,Washing Machine,1.44,Kitchen,Wash,25,10.8
2025-07-01 13:00:00,Lights,1.07,Kitchen,Wash,31,8.02
2025-07-01 14:00:00,Fridge,0.91,Kitchen,Wash,21,6.82
2025-07-01 15:00:00,Lights,0.99,Kitchen,Heat,25,7.42
2025-07-01 16:00:00,Fridge,1.37,Bathroom,Wash,21,10.28
2025-07-01 17:00:00,Washing Machine,1.2,Living Room,Cool,21,9.0
2025-07-01 18:00:00,Air Conditioner,1.58,Bedroom,Freeze,21,11.85
2025-07-01 19:00:00,Fridge,0.63,Kitchen,Cool,33,4.72
2025-07-01 20:00:00,Lights,0.81,Kitchen,Cool,34,6.08
2025-07-01 21:00:00,Washing Machine,1.59,Kitchen,Wash,30,11.92
2025-07-01 22:00:00,Fridge,0.8,Bathroom,Freeze,22,6.0
2025-07-01 23:00:00,Air Conditioner,1.89,Kitchen,Freeze,34,14.18
2025-07-02 00:00:00,Air Conditioner,1.9,Kitchen,Freeze,21,14.25
2025-07-02 01:00:00,Geyser,1.9,Kitchen,Heat,23,14.25
2025-07-02 02:00:00,Geyser,0.76,Living Room,Wash,28,5.7
2025-07-02 03:00:00,Lights,1.24,Bathroom,Freeze,25,9.3
2025-07-02 04:00:00,Fridge,0.95,Kitchen,Heat,20,7.12
2025-07-02 05:00:00,Fridge,1.66,Bedroom,On,27,12.45
2025-07-02 06:00:00,Geyser,2.05,Bedroom,On,34,15.37
2025-07-02 07:00:00,Fridge,1.64,Bedroom,Heat,31,12.3
2025-07-02 08:00:00,Fridge,1.2,Bathroom,Heat,33,9.0
2025-07-02 09:00:00,Air Conditioner,1.02,Bathroom,Wash,26,7.65
2025-07-02 10:00:00,Geyser,1.52,Bedroom,Wash,29,11.4
2025-07-02 11:00:00,Washing Machine,0.59,Kitchen,On,22,4.42
2025-07-02 12:00:00,Geyser,1.47,Bathroom,Freeze,20,11.02
2025-07-02 13:00:00,Washing Machine,0.74,Bedroom,On,24,5.55
2025-07-02 14:00:00,Air Conditioner,1.51,Bedroom,Freeze,32,11.32
2025-07-02 15:00:00,Lights,1.12,Kitchen,Freeze,23,8.4
2025-07-02 16:00:00,Fridge,1.01,Living Room,Wash,29,7.58
2025-07-02 17:00:00,Air Conditioner,0.76,Bathroom,Cool,27,5.7
2025-07-02 18:00:00,Fridge,1.02,Kitchen,Cool,20,7.65
2025-07-02 19:00:00,Lights,1.48,Bedroom,Heat,29,11.1
2025-07-02 20:00:00,Lights,1.72,Bedroom,Wash,20,12.9
2025-07-02 21:00:00,Air Conditioner,1.46,Kitchen,Freeze,31,10.95
2025-07-02 22:00:00,Lights,1.88,Bathroom,Cool,23,14.1
2025-07-02 23:00:00,Washing Machine,2.47,Living Room,Freeze,27,18.53
2025-07-03 00:00:00,Lights,1.04,Living Room,Cool,24,7.8
2025-07-03 01:00:00,Fridge,1.1,Bedroom,Cool,21,8.25
2025-07-03 02:00:00,Fridge,0.48,Bathroom,Cool,25,3.6
2025-07-03 03:00:00,Fridge,1.8,Living Room,Wash,24,13.5
